,Symbol
0,MMM
1,AOS
2,ABT
3,ABBV
4,ACN
5,ADBE
6,AMD
7,AES
8,AFL
9,A
10,APD
11,ABNB
12,AKAM
13,ALB
14,ARE
15,ALGN
16,ALLE
17,LNT
18,ALL
19,GOOGL
20,GOOG
21,MO
22,AMZN
23,AMCR
24,AEE
25,AAL
26,AEP
27,AXP
28,AIG
29,AMT
30,AWK
31,AMP
32,AME
33,AMGN
34,APH
35,ADI
36,ANSS
37,AON
38,APA
39,AAPL
40,AMAT
41,APTV
42,ACGL
43,ADM
44,ANET
45,AJG
46,AIZ
47,T
48,ATO
49,ADSK
50,ADP
51,AZO
52,AVB
53,AVY
54,AXON
55,BKR
56,BALL
57,BAC
58,BK
59,BBWI
60,BAX
61,BDX
62,BRK.B
63,BBY
64,BIO
65,TECH
66,BIIB
67,BLK
68,BX
69,BA
70,BKNG
71,BWA
72,BXP
73,BSX
74,BMY
75,AVGO
76,BR
77,BRO
78,BF.B
79,BLDR
80,BG
81,CDNS
82,CZR
83,CPT
84,CPB
85,COF
86,CAH
87,KMX
88,CCL
89,CARR
90,CTLT
91,CAT
92,CBOE
93,CBRE
94,CDW
95,CE
96,COR
97,CNC
98,CNP
99,CF
100,CHRW
101,CRL
102,SCHW
103,CHTR
104,CVX
105,CMG
106,CB
107,CHD
108,CI
109,CINF
110,CTAS
111,CSCO
112,C
113,CFG
114,CLX
115,CME
116,CMS
117,KO
118,CTSH
119,CL
120,CMCSA
121,CMA
122,CAG
123,COP
124,ED
125,STZ
126,CEG
127,COO
128,CPRT
129,GLW
130,CPAY
131,CTVA
132,CSGP
133,COST
134,CTRA
135,CCI
136,CSX
137,CMI
138,CVS
139,DHR
140,DRI
141,DVA
142,DAY
143,DECK
144,DE
145,DAL
146,DVN
147,DXCM
148,FANG
149,DLR
150,DFS
151,DG
152,DLTR
153,D
154,DPZ
155,DOV
156,DOW
157,DHI
158,DTE
159,DUK
160,DD
161,EMN
162,ETN
163,EBAY
164,ECL
165,EIX
166,EW
167,EA
168,ELV
169,LLY
170,EMR
171,ENPH
172,ETR
173,EOG
174,EPAM
175,EQT
176,EFX
177,EQIX
178,EQR
179,ESS
180,EL
181,ETSY
182,EG
183,EVRG
184,ES
185,EXC
186,EXPE
187,EXPD
188,EXR
189,XOM
190,FFIV
191,FDS
192,FICO
193,FAST
194,FRT
195,FDX
196,FIS
197,FITB
198,FSLR
199,FE
200,FI
201,FMC
202,F
203,FTNT
204,FTV
205,FOXA
206,FOX
207,BEN
208,FCX
209,GRMN
210,IT
211,GE
212,GEHC
213,GEV
214,GEN
215,GNRC
216,GD
217,GIS
218,GM
219,GPC
220,GILD
221,GPN
222,GL
223,GS
224,HAL
225,HIG
226,HAS
227,HCA
228,DOC
229,HSIC
230,HSY
231,HES
232,HPE
233,HLT
234,HOLX
235,HD
236,HON
237,HRL
238,HST
239,HWM
240,HPQ
241,HUBB
242,HUM
243,HBAN
244,HII
245,IBM
246,IEX
247,IDXX
248,ITW
249,ILMN
250,INCY
251,IR
252,PODD
253,INTC
254,ICE
255,IFF
256,IP
257,IPG
258,INTU
259,ISRG
260,IVZ
261,INVH
262,IQV
263,IRM
264,JBHT
265,JBL
266,JKHY
267,J
268,JNJ
269,JCI
270,JPM
271,JNPR
272,K
273,KVUE
274,KDP
275,KEY
276,KEYS
277,KMB
278,KIM
279,KMI
280,KLAC
281,KHC
282,KR
283,LHX
284,LH
285,LRCX
286,LW
287,LVS
288,LDOS
289,LEN
290,LIN
291,LYV
292,LKQ
293,LMT
294,L
295,LOW
296,LULU
297,LYB
298,MTB
299,MRO
300,MPC
301,MKTX
302,MAR
303,MMC
304,MLM
305,MAS
306,MA
307,MTCH
308,MKC
309,MCD
310,MCK
311,MDT
312,MRK
313,META
314,MET
315,MTD
316,MGM
317,MCHP
318,MU
319,MSFT
320,MAA
321,MRNA
322,MHK
323,MOH
324,TAP
325,MDLZ
326,MPWR
327,MNST
328,MCO
329,MS
330,MOS
331,MSI
332,MSCI
333,NDAQ
334,NTAP
335,NFLX
336,NEM
337,NWSA
338,NWS
339,NEE
340,NKE
341,NI
342,NDSN
343,NSC
344,NTRS
345,NOC
346,NCLH
347,NRG
348,NUE
349,NVDA
350,NVR
351,NXPI
352,ORLY
353,OXY
354,ODFL
355,OMC
356,ON
357,OKE
358,ORCL
359,OTIS
360,PCAR
361,PKG
362,PANW
363,PARA
364,PH
365,PAYX
366,PAYC
367,PYPL
368,PNR
369,PEP
370,PFE
371,PCG
372,PM
373,PSX
374,PNW
375,PNC
376,POOL
377,PPG
378,PPL
379,PFG
380,PG
381,PGR
382,PLD
383,PRU
384,PEG
385,PTC
386,PSA
387,PHM
388,QRVO
389,PWR
390,QCOM
391,DGX
392,RL
393,RJF
394,RTX
395,O
396,REG
397,REGN
398,RF
399,RSG
400,RMD
401,RVTY
402,RHI
403,ROK
404,ROL
405,ROP
406,ROST
407,RCL
408,SPGI
409,CRM
410,SBAC
411,SLB
412,STX
413,SRE
414,NOW
415,SHW
416,SPG
417,SWKS
418,SJM
419,SNA
420,SOLV
421,SO
422,LUV
423,SWK
424,SBUX
425,STT
426,STLD
427,STE
428,SYK
429,SMCI
430,SYF
431,SNPS
432,SYY
433,TMUS
434,TROW
435,TTWO
436,TPR
437,TRGP
438,TGT
439,TEL
440,TDY
441,TFX
442,TER
443,TSLA
444,TXN
445,TXT
446,TMO
447,TJX
448,TSCO
449,TT
450,TDG
451,TRV
452,TRMB
453,TFC
454,TYL
455,TSN
456,USB
457,UBER
458,UDR
459,ULTA
460,UNP
461,UAL
462,UPS
463,URI
464,UNH
465,UHS
466,VLO
467,VTR
468,VLTO
469,VRSN
470,VRSK
471,VZ
472,VRTX
473,VTRS
474,VICI
475,V
476,VMC
477,WRB
478,WAB
479,WBA
480,WMT
481,DIS
482,WBD
483,WM
484,WAT
485,WEC
486,WFC
487,WELL
488,WST
489,WDC
490,WRK
491,WY
492,WMB
493,WTW
494,GWW
495,WYNN
496,XEL
497,XYL
498,YUM
499,ZBRA
500,ZBH
501,ZTS
